name,unit_code,unit_name,code
College of Engineering,NUEN,Nuclear Engineering,CLEN
College of Engineering,PETE,Petroleum Engineering,CLEN
College of Engineering,MSEN,Materials Science & Engineering,CLEN
College of Engineering,ZACH,Zachry Engineering Education Complex,CLEN
College of Engineering,MTDE,Multidisciplinary Engineering,CLEN
College of Engineering,MCF,Materials Characterization Facility,CLEN
College of Engineering,OCEN,Ocean Engineering,CLEN
College of Engineering,EAPO,Engineering Student Services & Academic Programs,CLEN
College of Engineering,DLEN,Remote Education,CLEN
College of Engineering,CLEN,Office of the Dean of Engineering,CLEN
College of Geosciences,GEOG,Geography,CLGE
College of Geosciences,GEOL,Geology,CLGE
College of Geosciences,METR,Meteorology,CLGE
College of Geosciences,OCNG,Oceanography,CLGE
College of Geosciences,GERG,Geochemical & Environmental Research Group,CLGE
College of Geosciences,IODP,International Ocean Discovery Program,CLGE
College of Geosciences,CLGE,Office of the Dean of Geosciences,CLGE
College of Geosciences,SEAG,Sea Grant Program Office,CLGE
School of Law,CLLW,School of Law,CLLW
College of Liberal Arts,ECON,Economics,CLLA
College of Liberal Arts,ENGL,English,CLLA
College of Liberal Arts,HIST,History,CLLA
College of Liberal Arts,PERF,Performance Studies,CLLA
College of Liberal Arts,PHIL,Philosophy & Humanities,CLLA
College of Liberal Arts,POLS,Political Science,CLLA
College of Liberal Arts,PSYC,Psychology,CLLA
College of Liberal Arts,ANTH,Anthropology,CLLA
College of Liberal Arts,SOCI,Sociology,CLLA
College of Liberal Arts,SCOM,Communication,CLLA
College of Liberal Arts,INTST,International Studies,CLLA
College of Liberal Arts,HISP,Hispanic Studies,CLLA
College of Liberal Arts,CLLA,Office of the Dean of Liberal Arts,CLLA
College of Liberal Arts,PPRI,Public Policy Research Institute,CLLA
Mays Business School,ACCT,Accounting,CLBA
Mays Business School,BANA,Information & Operations Management,CLBA
Mays Business School,FINC,Finance,CLBA
Mays Business School,MGMT,Management,CLBA
Mays Business School,MKTG,Marketing,CLBA
Mays Business School,BMPO,MBA Program Office,CLBA
Mays Business School,IBUS,Center For International Business Studies,CLBA
Mays Business School,CLBA,Office of the Dean of Mays Business School,CLBA
Mays Business School,EXDE,Center for Executive Development,CLBA
Mays Business School,EMBA,Executive MBA Program,CLBA
Mays Business School,BUSP,Business Undergraduate Special Programs,CLBA
Mays Business School,MIRC,Mays Innovation Research Center,CLBA
Mays Business School,TRER,Texas Real Estate Research Center,CLBA
College of Science,BIOL,Biology,CLSC
College of Science,CHEM,Chemistry,CLSC
College of Science,STAT,Statistics,CLSC
College of Science,MATH,Mathematics,CLSC
College of Science,PHYS,Physics & Astronomy,CLSC
College of Science,ATLT,Academy for Advanced Telecommunications and Learning Technologies,CLSC
College of Science,CLSC,Office of the Dean of Science,CLSC
College of Science,ISC,Institute For Scientific Computation,CLSC
College of Science,CYCL,Cyclotron Institute,CLSC
College of Science,IAMCS,Institute for Applied Mathematics and Computational Science,CLSC
College of Veterinary Medicine & Biomedical Sciences,CLVM,Office of the Dean of Veterinary Medicine & Biomedical Science,CLVM
College of Veterinary Medicine & Biomedical Sciences,VIBS,Veterinary Integrative Biosciences,CLVM
College of Veterinary Medicine & Biomedical Sciences,VLCS,Large Animal Clinical Sciences,CLVM
College of Veterinary Medicine & Biomedical Sciences,VSCS,Small Animal Clinical Sciences,CLVM
College of Veterinary Medicine & Biomedical Sciences,VTPB,Veterinary Pathobiology,CLVM
College of Veterinary Medicine & Biomedical Sciences,VTPP,Veterinary Physiology & Pharmacology,CLVM
College of Veterinary Medicine & Biomedical Sciences,VBMS,Biomedical Sciences,CLVM
College of Veterinary Medicine & Biomedical Sciences,VMTH,Veterinary Medical Teaching Hospital,CLVM
College of Veterinary Medicine & Biomedical Sciences,VTPK,Veterinary Medical Park,CLVM
College of Veterinary Medicine & Biomedical Sciences,TIPS,Texas Institute For Preclinical Studies,CLVM
School of Innovation,ISED,Office of the Dean of the School of Innovation,SINV
